goal_location,path_length_m,goal_achievement_duration_s,rrt_computation_time_s,task_achieved,failure_reasons,final_heading_error,final_location_error,run_name
corner_1_table,3.1882566433529087,56.899,9.961046695709229,True,,0.013379009922896756,0.14974614099336703,run_001
corner_2_table,3.1512405947792708,35.235,11.33027720451355,True,,0.020717088649977455,0.135116671473018,run_002
corner_3_table,3.4909037841826938,44.825,9.818652868270874,True,,0.016793635993999967,0.02631309390892425,run_003
corner_4_table,3.5206713964974448,45.669,10.041794776916504,True,,0.012178218726454526,0.058032706222460914,run_004
corner_1_behind_table,4.576041467225562,47.015,9.33348560333252,True,,0.017699319159012905,0.017890599761250764,run_005
corner_2_behind_table,4.5233858333317984,46.477,8.49708366394043,True,,0.01468647301671222,0.02847611852079432,run_006
corner_3_behind_table,4.877407205679818,45.195,9.231056213378906,True,,0.009790712543061504,0.07359888793585477,run_007
corner_4_behind_table,5.229174241381589,43.902,9.268490076065063,True,,0.02773358732138448,0.07366449252123877,run_008
forward,1.8380547851629623,,10.337275981903076,False,goal_not_reached,0.20247985091146498,2.1686339219975546,run_009
backward,15.909733617348362,,9.73421311378479,False,goal_not_reached,0.37593270239380594,1.6562297618262771,run_010
left,4.490116478356432,53.317,10.835317373275757,True,,0.010493414274391322,0.046649543489748216,run_011
right,4.750829813467715,54.09,10.314798355102539,True,,0.009050097986244676,0.02083853097111246,run_013
