t,x,y
4.933190281,-0.0005800379599932501,7.17742747469829e-05
4.943238664,-0.0005800373678280296,7.177399286254068e-05
4.953394167,-0.0005800370420839425,7.177386378173886e-05
4.963407789,-0.0005800371618482469,7.17739681625521e-05
4.974199833,-0.0005800370336369416,7.177392729853637e-05
4.983760787,-0.0005800370867909584,7.177396489802695e-05
4.993835751,-0.00058003684671506,7.177385019683396e-05
5.003944023,-0.0005800372433316632,7.177404437946964e-05
5.013916094,-0.0005800371741044854,7.177401151244782e-05
5.024017839,-0.0005800369611270745,7.177390095465313e-05
5.034029417,-0.0005800366591655485,7.177378003894621e-05
5.044247015,-0.0005800366824468576,7.177381303597428e-05
5.054194124,-0.000580036455508779,7.177370180664754e-05
5.064204729,-0.0005800368553812814,7.177389270122416e-05
5.074279332,-0.0005800366854841086,7.177379147622442e-05
5.084339327,-0.0005800364041335347,7.177367589436914e-05
5.094382765,-0.0005800363110418675,7.177363811111128e-05
5.104440101,-0.0005800360767309548,7.177352686278931e-05
5.114517803,-0.0005800360905686254,7.177355655352854e-05
5.124478095,-0.0005800365763288856,7.177376491214731e-05
5.13486995,-0.0005800364178051411,7.177365964107702e-05
5.144836299,-0.0005800367018210344,7.177378310748925e-05
5.154873595,-0.0005800366981793615,7.177376198822015e-05
5.164960594,-0.0005800369997988868,7.177389374214932e-05
5.175012309,-0.0005800375181284536,7.177411756603648e-05
5.185161621,-0.000580037548819151,7.177410167491342e-05
5.195310248,-0.0005800376973732219,7.17741578959998e-05
5.205309923,-0.0005800374757356057,7.177404624277299e-05
5.215369801,-0.0005800375307261699,7.177408329372362e-05
5.225437663,-0.0005800379556473532,7.177428858021152e-05
5.235610135,-0.0005800380567579626,7.177433797410848e-05
5.24567082,-0.0005800383592656378,7.177447635475722e-05
5.255708182,-0.0005800383500156638,7.177444803338115e-05
5.265760049,-0.000580038072613729,7.177432366419173e-05
5.275910919,-0.0005800384418849927,7.177451754915342e-05
5.285997021,-0.000580038297416474,7.177446594555073e-05
5.296513842,-0.000580038162146977,7.177441762690759e-05
5.306458532,-0.0005800378575756748,7.177428928162809e-05
5.316468673,-0.0005800377848869933,7.17743080174537e-05
5.32654088,-0.000580037798259699,7.177433702686207e-05
5.337114911,-0.0005800374631303815,7.177420775769943e-05
5.346727565,-0.0005800367819934872,7.1773919112831e-05
5.356823884,-0.0005800362446697271,7.177370426060341e-05
5.367057599,-0.0005800363463002115,7.177379300800585e-05
5.377139843,-0.000580035720119527,7.177351421028245e-05
5.387214029,-0.0005800356001613655,7.177346957020587e-05
5.397243445,-0.0005800356140872103,7.177349319700821e-05
5.407356649,-0.0005800357180641468,7.177353736757082e-05
5.417404194,-0.0005800360687274585,7.177367211038321e-05
5.42754361,-0.0005800357373066884,7.177349636194093e-05
5.437638574,-0.0005800353750159901,7.177331352663935e-05
5.447691147,-0.0005800352697008732,7.177326640800418e-05
5.457775807,-0.000580035040756508,7.177315816073041e-05
5.467861141,-0.0005800348752632457,7.177306133548207e-05
5.477870935,-0.0005800344907610786,7.17728828317078e-05
5.487954939,-0.0005800344071425724,7.177284868897533e-05
5.498001237,-0.0005800342474300575,7.17727540446478e-05
5.508056824,-0.0005800341140816271,7.17726644307757e-05
5.518131115,-0.0005800338049711572,7.177249977918278e-05
5.52801114,-0.0005800334605410903,7.177232971815935e-05
5.538100397,-0.000580033727441546,7.177244910141849e-05
