t,linear_x,angular_z
0.0,0.0,0.0
0.089655793,0.0,0.0
0.189537347,0.0,0.0
0.2895765,0.0,0.0
0.38952311,0.0,0.0
0.48961375,0.0,0.0
0.589494604,0.0,0.0
0.689516395,0.0,0.0
0.789556693,0.0,0.0
0.889647223,0.0,0.0
0.989582704,0.0,0.0
1.089622099,0.0,0.0
1.189644603,0.0,0.0
1.289628346,0.0,0.0
1.389547455,0.0,0.0
1.489488631,0.0,0.0
1.589519281,0.0,0.0
1.689546543,0.0,0.0
1.78964494,0.0,0.0
1.88952968,0.0,0.0
1.989618783,0.0,0.0
2.089625791,0.0,0.0
2.189555804,0.0,0.0
2.28958064,0.0,0.0
2.389792459,0.0,0.0
2.489511183,0.0,0.0
2.589585861,0.0,0.0
2.690597435,0.0,0.0
2.789529549,0.0,0.0
2.89130343,0.0,0.0
2.990272026,0.0,0.0
3.089826242,0.0,0.0
3.189879813,0.0,0.0
3.289658376,0.0,0.0
3.390170195,0.0,0.0
3.490270225,0.0,0.0
3.5949242,0.0,0.0
3.689687547,0.0,0.0
3.789475772,0.0,0.0
3.889973922,0.0,0.0
3.989460301,0.0,0.0
4.089437199,0.0,0.0
4.190131717,0.0,0.0
4.289480556,0.0,0.0
4.389446467,0.0,0.0
4.490606316,0.0,0.0
4.589497063,0.0,0.0
4.689444501,0.0,0.0
4.789448828,0.0,0.0
4.890215238,0.0,0.0
4.989460034,0.0,0.0
5.089426826,0.0,0.0
5.189386436,0.0,0.0
5.289464001,0.0,0.0
5.39216209,0.0,0.0
5.490472333,0.0,0.0
5.589427601,0.0,0.0
5.689351753,0.0,0.0
5.789344712,0.0,0.0
5.889550421,0.0,0.0
5.989397217,0.0,0.0
6.089453,0.0,0.0
6.189630294,0.0,0.0
6.289437359,0.0,0.0
6.389437591,0.0,0.0
6.489360188,0.0,0.0
6.589484052,0.0,0.0
6.689445643,0.0,0.0
6.789462096,0.0,0.0
6.889594438,0.0,0.0
6.989540506,0.0,0.0
7.089334221,0.0,0.0
7.189495803,0.0,0.0
7.289527832,0.0,0.0
7.38944451,0.0,0.0
7.48942764,0.0,0.0
7.589532895,0.0,0.0
7.689380616,0.0,0.0
7.789575498,0.0,0.0
7.889486766,0.0,0.0
7.989489852,0.0,0.0
8.089379268,0.0,0.0
8.189398074,0.0,0.0
8.290278856,0.0,0.0
8.389495309,0.0,0.0
8.48946087,0.0,0.0
8.589506196,0.0,0.0
8.689461562,0.0,0.0
8.789465198,0.0,0.0
8.889608596,0.0,0.0
8.989358955,0.0,0.0
9.090152507,0.0,0.0
9.189470357,0.0,0.0
9.289444053,0.0,0.0
9.389539779,0.0,0.0
9.489362036,0.0,0.0
9.589360651,0.0,0.0
9.689435599,0.0,0.0
9.791377308,0.0,0.0
9.889397674,0.0,0.0
9.989363534,0.0,0.0
10.089597393,0.0,0.0
10.189451258,0.0,0.0
10.28956481,0.0,0.0
10.389431484,0.0,0.0
10.489400566,0.0,0.0
10.589462313,0.0,0.0
10.689378775,0.0,0.0
10.789464211,0.0,0.0
10.889368358,0.0,0.0
10.989478704,0.0,0.0
11.089443302,0.0,0.0
11.189452522,0.0,0.0
11.289550499,0.0,0.0
11.389434539,0.0,0.0
11.489452003,0.0,0.0
11.589381408,0.0,0.0
11.689425799,0.0,0.0
11.789428574,0.0,0.0
11.889355457,0.0,0.0
11.9894274,0.0,0.0
12.089373901,0.0,0.0
12.189331335,0.0,0.0
12.290016899,0.0,0.0
12.389486842,0.0,0.0
12.489450127,0.0,0.0
12.589439081,0.0,0.0
12.689362257,0.0,0.0
12.789533684,0.0,0.0
12.889467401,0.0,0.0
12.989376701,0.0,0.0
13.089363745,0.0,0.0
13.189576157,0.0,0.0
13.289524567,0.0,0.0
13.389453041,0.0,0.0
13.489381065,0.0,0.0
13.589421141,0.0,0.0
13.689422975,0.0,0.0
13.792820592,0.0,0.0
13.892235976,0.0,0.0
13.989403893,0.0,0.0
14.090489551,0.0,0.0
14.189533028,0.0,0.0
14.289470738,0.0,0.0
14.389460895,0.0,0.0
14.48953268,0.0,0.0
14.589488249,0.0,0.0
14.689425091,0.0,0.0
14.789430085,0.0,0.0
14.88938754,0.0,0.0
14.98952886,0.0,0.0
15.089508941,0.0,0.0
15.189430563,0.0,0.0
15.289396004,0.0,0.0
15.389520423,0.0,0.0
15.489431186,0.0,0.0
15.589622905,0.0,0.0
15.689360506,0.0,0.0
15.789578013,0.0,0.0
15.889527592,0.0,0.0
15.989533996,0.0,0.0
16.089369745,0.0,0.0
16.189865942,0.0,0.0
16.28943294,0.0,0.0
16.389477633,0.0,0.0
16.489401461,0.0,0.0
16.589397814,0.0,0.0
16.689609666,0.0,0.0
16.789538288,0.0,0.0
16.889403976,0.0,0.0
16.989500522,0.0,0.0
17.089452459,0.0,0.0
17.189559321,0.0,0.0
17.289428942,0.0,0.0
17.389476731,0.0,0.0
17.489910964,0.0,0.0
17.589507712,0.0,0.0
17.689389974,0.0,0.0
17.789763101,0.0,0.0
17.892279539,0.0,0.0
17.989378305,0.0,0.0
18.089528118,0.0,0.0
18.189471999,0.0,0.0
18.289436897,0.0,0.0
18.389586707,0.0,0.0
18.489465824,0.0,0.0
18.589427644,0.0,0.0
18.689489707,0.0,0.0
18.789532215,0.0,0.0
18.889504132,0.0,0.0
18.989452323,0.0,0.0
19.089454211,0.0,0.0
19.189649545,0.0,0.0
19.289371488,0.0,0.0
19.389559727,0.0,0.0
19.489444221,0.0,0.0
19.589500311,0.0,0.0
19.689979303,0.0,0.0
19.789488629,0.0,0.0
19.88958043,0.0,0.0
19.989406078,0.0,0.0
20.090129615,0.0,0.0
20.189423534,0.0,0.0
20.289462923,0.0,0.0
20.389453646,0.0,0.0
20.489731544,0.0,0.0
20.58956282,0.0,0.0
20.689528943,0.0,0.0
20.789501296,0.0,0.0
20.889493417,0.0,0.0
20.989447875,0.0,0.0
21.089372938,0.0,0.0
21.190322676,0.0,0.0
21.289479457,0.0,0.0
21.389603839,0.0,0.0
21.489434377,0.0,0.0
21.589583721,0.0,0.0
21.689562041,0.0,0.0
21.789457136,0.0,0.0
21.889892617,0.0,0.0
21.98960471,0.0,0.0
22.089641761,0.0,0.0
22.190426804,0.0,0.0
22.289502223,0.0,0.0
22.389590022,0.0,0.0
22.489401895,0.0,0.0
22.58950782,0.0,0.0
22.689395803,0.0,0.0
22.789457364,0.0,0.0
