t,x,y
0.0,-9.103315610813414e-07,1.8937426676563125e-07
0.012476295,-4.063599298555556e-06,8.72605776950806e-07
0.023400003,-8.833537108137238e-06,1.985466546825616e-06
0.035736281,-1.442471895651571e-05,3.5941918315963908e-06
0.049548451,-2.1397792693122336e-05,4.171309057659318e-06
0.063335335,-2.9001939286266674e-05,4.381307352485826e-06
0.074727652,-3.69972633014002e-05,4.482183937593769e-06
0.088888538,-4.614981834122518e-05,5.406996049238432e-06
0.102043136,-5.665249202985341e-05,1.0581380165472411e-05
0.116019522,-6.742608902071418e-05,1.7136705146495942e-05
0.126551923,-7.739798721973206e-05,2.362652324285411e-05
0.138224616,-8.573304117623966e-05,2.95102054595276e-05
0.150021055,-9.213828320107052e-05,3.467076337773591e-05
0.169367106,-9.734321053297447e-05,3.948994860408024e-05
0.180005556,-0.0001015991218986309,4.409547886482959e-05
0.197799929,-0.00010499761747599905,4.851455701985227e-05
0.209665019,-0.00010781673571555114,5.273613595780475e-05
0.224757263,-0.00011047879364587624,5.673697626914294e-05
0.238824975,-0.00011301578654748182,6.054969425383456e-05
0.251228638,-0.00011544208644696102,6.419593295864542e-05
0.263446763,-0.00011776928840385135,6.769315110317963e-05
0.283294815,-0.00012000769985698496,7.105686657111294e-05
0.2944971,-0.00012216674689287822,7.430126853244837e-05
0.30673309,-0.00012408006883750898,7.717607090347426e-05
0.31916184,-0.00012530003358096793,7.900755604062378e-05
0.333127253,-0.0001262166117698511,8.031827802048252e-05
0.348492998,-0.00012733399976850614,8.054401586417379e-05
0.361361328,-0.00012875647681002706,8.031569339512416e-05
0.376174051,-0.0001305197282445306,8.002798297648047e-05
0.389947838,-0.0001326477980975625,7.97336331504854e-05
0.402032064,-0.00013515724648052382,7.944027308893348e-05
0.416606182,-0.00013806401238339924,7.914925480116512e-05
0.43192359,-0.00014137676402486803,7.88601031408401e-05
0.444669386,-0.00014506880743089118,7.85721498225225e-05
0.457563202,-0.00014912632454142875,7.828515108262513e-05
0.469700429,-0.000153535633207442,7.79307429490748e-05
0.48213739,-0.0001584963752081555,7.761701319702581e-05
0.493450548,-0.00016421678205697128,7.732706256987493e-05
0.503955675,-0.0001707791752040659,7.704009418547562e-05
0.516780214,-0.00017823419589886244,7.675419412098779e-05
0.529137156,-0.0001865952150976822,7.647505419881026e-05
0.541554925,-0.0001957719288390395,7.619892413158504e-05
0.554034388,-0.00020565400607855736,7.592369747446781e-05
0.565695822,-0.00021616011288107424,7.565077726847617e-05
0.579163526,-0.00022722925188767198,7.538072345855923e-05
0.59198741,-0.00023881857235147526,7.511420944282727e-05
0.605108367,-0.00025101122628135453,7.485206293124684e-05
0.6172257,-0.0002640613331574759,7.459357740794217e-05
0.62925093,-0.00027796313990745454,7.433831628956135e-05
0.640941979,-0.0002927365271915214,7.408688823307358e-05
0.657817312,-0.0003084037841543938,7.38393793207582e-05
0.6712754,-0.0003249795326175165,7.359578563636117e-05
0.684222217,-0.00034454865667482137,7.406574472480429e-05
0.69520609,-0.0003677820011355028,7.054097009274421e-05
0.705592655,-0.00039272372387012464,7.006886824554876e-05
0.721503326,-0.00041813212397220825,7.219848368420021e-05
0.731720595,-0.000443363188400118,7.290321228638035e-05
0.744573826,-0.0004684462459777581,7.232473871427261e-05
0.762041246,-0.0004985060917392795,7.160938967987391e-05
0.781714544,-0.0005291578826404223,6.869810994535757e-05
0.797471916,-0.000560429554597305,7.066188868779227e-05
0.811758933,-0.0005912315027595148,7.205712870088365e-05
0.826512562,-0.0006213119544870712,7.17575727548199e-05
0.842858868,-0.0006561113005676359,7.11155240417571e-05
0.856924925,-0.0006912121744508332,6.81812181636144e-05
0.871685974,-0.0007267537037734069,7.016280695819701e-05
0.887973086,-0.00076168400090941,7.160687801812814e-05
0.901822414,-0.0007960790820343748,7.178671935520399e-05
0.916804874,-0.0008347613608945433,7.025631883706362e-05
0.930124965,-0.0008737664909558374,6.795894142863374e-05
0.941561675,-0.0009129891879847314,7.016377407568315e-05
0.959024762,-0.0009515391932048865,7.148271384781147e-05
0.973607708,-0.000984414826755966,6.743217412406681e-05
0.99762938,-0.001003969625819538,5.7293255285060596e-05
1.034328703,-0.001007753243733157,5.0963232219419265e-05
1.054489566,-0.0010074264962799725,4.7823004395940215e-05
1.084562909,-0.0010072002888622611,4.623251445717521e-05
1.097197088,-0.0010071402018687519,4.581151400694658e-05
1.111825968,-0.0010065862216228159,4.3602442403298464e-05
1.124349769,-0.0010058807217557869,4.152156550947159e-05
1.137502828,-0.0010054718335719129,4.0506207689787075e-05
1.153888243,-0.0010050624800392394,3.951982949104574e-05
1.168570167,-0.0010044874624199444,3.8323876151587525e-05
1.180384896,-0.001003996058686743,3.736124384452234e-05
1.191921054,-0.001003778696629841,3.666219305256614e-05
1.205574711,-0.0010034539835412299,3.514364977759486e-05
1.219785269,-0.0010026383353655619,3.347029455260894e-05
1.232453463,-0.0010026126766567688,3.313551770895199e-05
1.244866524,-0.001002612826477226,3.1603700057094815e-05
1.259183923,-0.001002613054697659,3.011540903164931e-05
1.277057679,-0.0010026129919045307,2.847704472304889e-05
1.293303059,-0.0010026130274971394,2.7208644465481335e-05
1.312980688,-0.0010026134407575705,2.655381286861434e-05
1.329386084,-0.0010026138138276236,2.6052489646929055e-05
1.344891898,-0.0010026140459787041,2.549308491679313e-05
1.360732052,-0.0010026143332383707,2.4989789512508105e-05
1.375117694,-0.0010026146792868193,2.4734998096019676e-05
1.389456687,-0.0010026149944561344,2.4628685857530988e-05
1.401785797,-0.0010026148996643471,2.4367097257052854e-05
1.413571463,-0.001002615250979214,2.4334852968878025e-05
1.428976525,-0.0010026152138772025,2.4256557257740013e-05
1.440232303,-0.001002615103415279,2.4204020645275963e-05
1.451403496,-0.0010026150182082787,2.4157327269505677e-05
1.462091522,-0.0010026144692752348,2.378840869288125e-05
