t,linear_x,angular_z
0.0,0.0,0.0
0.091344726,0.0,0.0
0.189458137,0.0,0.0
0.282448147,0.0,0.0
0.384404552,0.0,0.0
0.482226118,0.0,0.0
0.582138738,0.0,0.0
0.682084941,0.0,0.0
0.783318901,0.0,0.0
0.881986716,0.0,0.0
0.982917277,0.0,0.0
1.082661411,0.0,0.0
1.182177789,0.0,0.0
1.281902439,0.0,0.0
1.381899722,0.0,0.0
1.481905959,0.0,0.0
1.581954801,0.0,0.0
1.682011506,0.0,0.0
1.783480585,0.0,0.0
1.881936463,0.0,0.0
1.981970773,0.0,0.0
2.082014291,0.0,0.0
2.181949079,0.0,0.0
2.281939544,0.0,0.0
2.382018862,0.0,0.0
2.482226459,0.0,0.0
2.582033704,0.0,0.0
2.682129782,0.0,0.0
2.782339992,0.0,0.0
2.882107013,0.0,0.0
2.982957395,0.0,0.0
3.084441599,0.0,0.0
3.182190453,0.0,0.0
3.281959597,0.0,0.0
3.382036949,0.0,0.0
3.48210606,0.0,0.0
3.58190794,0.0,0.0
3.683421875,0.0,0.0
3.782839748,0.0,0.0
3.882225309,0.0,0.0
3.982676185,0.0,0.0
4.082581161,0.0,0.0
4.184664955,0.0,0.0
4.283827873,0.0,0.0
4.381923686,0.0,0.0
4.481874169,0.0,0.0
4.581935828,0.0,0.0
4.681934213,0.0,0.0
4.781964646,0.0,0.0
4.88194456,0.0,0.0
4.981946238,0.0,0.0
5.081942817,0.0,0.0
5.182131471,0.0,0.0
5.28201509,0.0,0.0
5.38302096,0.0,0.0
5.481855982,0.0,0.0
5.58193697,0.0,0.0
5.681812024,0.0,0.0
5.781944128,0.0,0.0
5.881946767,0.0,0.0
5.981929196,0.0,0.0
6.081818385,0.0,0.0
6.181970148,0.0,0.0
6.281962016,0.0,0.0
6.381954912,0.0,0.0
6.482016468,0.0,0.0
6.581857113,0.0,0.0
6.681834277,0.0,0.0
6.781887139,0.0,0.0
6.88203879,0.0,0.0
6.981868269,0.0,0.0
7.081843244,0.0,0.0
7.181867534,0.0,0.0
7.281834816,0.0,0.0
7.38190098,0.0,0.0
7.481894284,0.0,0.0
7.581911137,0.0,0.0
7.682056389,0.0,0.0
7.781988751,0.0,0.0
7.881852354,0.0,0.0
7.98274877,0.0,0.0
8.081901506,0.0,0.0
8.181887548,0.0,0.0
8.281957754,0.0,0.0
8.381963873,0.0,0.0
8.482041829,0.0,0.0
8.581936556,0.0,0.0
8.68198534,0.0,0.0
8.781936651,0.0,0.0
8.881983442,0.0,0.0
8.981915215,0.0,0.0
9.08194802,0.0,0.0
9.181881813,0.0,0.0
9.281930012,0.0,0.0
9.381836532,0.0,0.0
9.482548298,0.0,0.0
9.581854132,0.0,0.0
9.681923179,0.0,0.0
9.781899621,0.0,0.0
9.881911274,0.0,0.0
9.981957759,0.0,0.0
10.081886962,0.0,0.0
10.181882198,0.0,0.0
10.281996742,0.0,0.0
10.381891022,0.0,0.0
10.48191317,0.0,0.0
10.581846768,0.0,0.0
10.681989658,0.0,0.0
10.781834506,0.0,0.0
10.882080299,0.0,0.0
10.981879658,0.0,0.0
11.081934894,0.0,0.0
11.18199357,0.0,0.0
11.28201181,0.0,0.0
11.381897627,0.0,0.0
11.481946259,0.0,0.0
11.581962746,0.0,0.0
11.681884462,0.0,0.0
11.782068719,0.0,0.0
11.882057651,0.0,0.0
11.982407514,0.0,0.0
12.0823551,0.0,0.0
12.182087478,0.0,0.0
12.282117067,0.0,0.0
12.381968742,0.0,0.0
12.481964036,0.0,0.0
12.581879732,0.0,0.0
12.682045398,0.0,0.0
12.781969284,0.0,0.0
12.881900793,0.0,0.0
12.9818662,0.0,0.0
13.081881687,0.0,0.0
13.181876433,0.0,0.0
13.282081899,0.0,0.0
13.38194823,0.0,0.0
13.48193622,0.0,0.0
13.581904854,0.0,0.0
13.68192366,0.0,0.0
13.781882432,0.0,0.0
13.881885928,0.0,0.0
13.981920694,0.0,0.0
14.081771545,0.0,0.0
14.182190585,0.0,0.0
14.281907863,0.0,0.0
14.381896377,0.0,0.0
14.481936109,0.0,0.0
14.581912535,0.0,0.0
14.681981979,0.0,0.0
14.781892528,0.0,0.0
14.881898737,0.0,0.0
14.982053998,0.0,0.0
15.08195092,0.0,0.0
15.18187962,0.0,0.0
15.281902355,0.0,0.0
15.381973704,0.0,0.0
15.481877729,0.0,0.0
15.581884208,0.0,0.0
15.682018505,0.0,0.0
15.781891181,0.0,0.0
15.881893501,0.0,0.0
15.981996219,0.0,0.0
16.081976367,0.0,0.0
16.181898304,0.0,0.0
16.281979858,0.0,0.0
16.381871609,0.0,0.0
16.48198416,0.0,0.0
16.582096753,0.0,0.0
16.681965067,0.0,0.0
16.78189335,0.0,0.0
16.881903168,0.0,0.0
16.981862807,0.0,0.0
17.082034591,0.0,0.0
17.182011123,0.0,0.0
17.281961106,0.0,0.0
17.381949113,0.0,0.0
17.482022437,0.0,0.0
17.581902604,0.0,0.0
17.681896147,0.0,0.0
17.781968642,0.0,0.0
17.881958612,0.0,0.0
17.981902805,0.0,0.0
18.081971522,0.0,0.0
18.181908773,0.0,0.0
18.282022112,0.0,0.0
18.381925537,0.0,0.0
18.481917921,0.0,0.0
18.581907539,0.0,0.0
18.682029355,0.0,0.0
18.782028228,0.0,0.0
18.881904059,0.0,0.0
18.981914884,0.0,0.0
19.081948249,0.0,0.0
19.182066895,0.0,0.0
19.282036488,0.0,0.0
19.381879761,0.0,0.0
19.481946136,0.0,0.0
19.582195231,0.0,0.0
19.681972389,0.0,0.0
19.781931602,0.0,0.0
19.882048707,0.0,0.0
19.982018449,0.0,0.0
20.082017563,0.0,0.0
20.181923462,0.0,0.0
20.282001567,0.0,0.0
20.381928396,0.0,0.0
20.482178182,0.0,0.0
20.581968961,0.0,0.0
20.682436611,0.0,0.0
20.78197824,0.0,0.0
20.882096138,0.0,0.0
20.981982647,0.0,0.0
21.081917503,0.0,0.0
21.181927117,0.0,0.0
21.28188429,0.0,0.0
21.38182502,0.0,0.0
21.481918548,0.0,0.0
21.581924425,0.0,0.0
21.681835452,0.0,0.0
21.781808713,0.0,0.0
21.881900476,0.0,0.0
21.982007264,0.0,0.0
22.082404622,0.0,0.0
22.181968641,0.0,0.0
22.281921045,0.0,0.0
22.381877453,0.0,0.0
22.481853022,0.0,0.0
22.581959838,0.0,0.0
22.681905111,0.0,0.0
22.781831547,0.0,0.0
22.882319947,0.0,0.0
22.981961191,0.0,0.0
23.081938767,0.0,0.0
23.182031614,0.0,0.0
23.28202644,0.0,0.0
23.381958789,0.0,0.0
23.481998298,0.0,0.0
23.581836607,0.0,0.0
23.682499107,0.0,0.0
23.781903412,0.0,0.0
23.881931716,0.0,0.0
23.982069243,0.0,0.0
24.082020859,0.0,0.0
24.181965668,0.0,0.0
24.281915491,0.0,0.0
24.381873823,0.0,0.0
24.481855925,0.0,0.0
24.582003518,0.0,0.0
24.681922188,0.0,0.0
24.781892511,0.0,0.0
24.881954406,0.0,0.0
24.983057137,0.0,0.0
25.081910502,0.0,0.0
25.181872651,0.0,0.0
25.281773224,0.0,0.0
25.385549981,0.0,0.0
25.481913566,0.0,0.0
25.581877476,0.0,0.0
25.681930689,0.0,0.0
25.782239958,0.0,0.0
25.882037954,0.0,0.0
25.981919715,0.0,0.0
26.081887428,0.0,0.0
26.181899552,0.0,0.0
26.281916891,0.0,0.0
26.381938569,0.0,0.0
26.481822883,0.0,0.0
26.581806247,0.0,0.0
26.682848151,0.0,0.0
26.781978583,0.0,0.0
26.881885534,0.0,0.0
26.981998685,0.0,0.0
27.081798799,0.0,0.0
27.181858254,0.0,0.0
27.281910975,0.0,0.0
27.381955684,0.0,0.0
27.48187007,0.0,0.0
27.581866132,0.0,0.0
27.681914876,0.0,0.0
27.782240954,0.0,0.0
27.88199749,0.0,0.0
27.98203831,0.0,0.0
28.081876216,0.0,0.0
28.181977802,0.0,0.0
28.281936872,0.0,0.0
28.381861505,0.0,0.0
28.481784893,0.0,0.0
28.582376082,0.0,0.0
28.681910199,0.0,0.0
28.781927143,0.0,0.0
28.88224785,0.0,0.0
28.981964866,0.0,0.0
29.081976293,0.0,0.0
29.181906492,0.0,0.0
29.95831226,0.5,0.5
30.177760346,0.5,0.5
30.41010705,0.5,0.5
30.62431363,0.5,0.5
30.831593709,0.5,0.5
31.039677872,0.5,0.5
31.254742859,0.5,0.5
31.507273724,0.5,0.5
31.7575733,0.5,0.5
32.018882265,0.5,0.5
32.225147066,0.5,0.49999996514538353
32.430882718,0.5,0.175378711907475
32.640022425,0.5,-0.18602737744518277
32.851036811,0.5,-0.49999997667110224
33.06427558,0.5,-0.5
33.324683207,0.5,-0.5
33.605338603,0.5,-0.5
33.865341221,0.5,-0.4897107613116039
34.077048746,0.5,-0.07632906018751988
34.30587746,0.5,0.27707619844875736
34.591241727,0.5,0.49999999649205723
34.848689576,0.5,0.5
35.070810306,0.5,0.5
35.2805273,0.5,0.5
35.497331893,0.5,0.5
35.713611141,0.5,0.27412029748940636
35.93920835,0.5,-0.051175364785520656
36.147606545,0.5,-0.37427385738564706
36.353615785,0.5,-0.4999999777867197
36.5874388,0.5,-0.4999999961953983
36.831829404,0.5,-0.49999999268735507
37.031586652,0.5,-0.4999998560639679
37.239831019,0.5,-0.49169069395543313
37.469479415,0.5,-0.4999999832711341
37.736684946,0.5,-0.4999999892316251
37.979307684,0.5,-0.2967665860854012
38.212882702,0.2938813143010721,0.16572406083859498
38.449117328,0.07505361116433806,0.499999966836649
38.687780181,0.0,0.4999999996215902
38.937098056,0.0,0.5
39.189060566,0.0,0.5
39.460521953,0.0,0.5
39.673889099,0.0,0.5
39.871021384,0.0,0.5
40.05976433,0.0,0.5
40.257239438,0.0,0.5
40.458376618,0.0,0.5
40.652367014,0.0,0.5
40.845452714,0.0,0.5
41.032577167,0.0,0.5
41.227505902,0.0,0.5
41.425418612,0.0,0.5
41.657412979,0.0,0.5
41.917394779,0.0,0.5
42.147709707,0.0,0.5
42.39956397,0.0,0.5
42.609381765,0.0,0.5
42.808578558,0.0,0.5
43.02506566,0.0,0.4999999985714205
43.253141823,0.0,0.49999999588595984
43.49467044,0.0,0.4999999921857144
43.727503032,0.0,0.4999999863433262
44.027619833,0.0,0.0
44.277875607,0.0,0.0
44.528695474,0.0,0.0
44.835794894,0.0,0.0
45.148617387,0.0,0.0
45.437195102,0.0,0.0
45.700298603,0.0,0.0
45.983045866,0.0,0.0
46.215893546,0.0,0.0
46.4721595,0.0,0.0
46.735042106,0.0,0.0
47.057163947,0.0,0.0
47.381043647,0.0,0.0
47.666389742,0.0,0.0
47.915538717,0.0,0.0
48.175236461,0.0,0.0
48.459251233,0.0,0.0
48.719727356,0.0,0.0
49.000688225,0.0,0.0
49.367420216,0.0,0.0
49.611027169,0.0,0.0
49.85198264,0.0,0.0
50.11850059,0.0,0.0
50.377366254,0.0,0.0
50.633020894,0.0,0.0
50.972910223,0.0,0.0
51.311348309,0.0,0.0
51.628620821,0.0,0.0
51.88276555,0.0,0.0
52.118090833,0.0,0.4999998967451344
52.407419107,0.0,0.0
52.648931032,0.0,0.0
52.890935744,0.0,0.0
53.135052896,0.0,0.0
53.379252551,0.0,0.0
53.622444452,0.0,0.0
53.863176643,0.0,0.0
54.100430681,0.0,0.4999998680656547
54.346653583,0.0,0.0
54.617265039,0.0,0.0
54.949109187,0.0,0.0
55.28604124,0.0,0.0
55.608069851,0.0,0.0
55.875597639,0.0,0.0
56.109781619,0.0,0.0
56.388154876,0.0,0.0
