t,linear_x,angular_z
0.0,0.0,0.0
0.040267223,0.0,0.0
0.135788597,0.0,0.0
0.236226309,0.0,0.0
0.337303223,0.0,0.0
0.436900747,0.0,0.0
0.536973655,0.0,0.0
0.635625643,0.0,0.0
0.735606352,0.0,0.0
0.835645265,0.0,0.0
0.935579924,0.0,0.0
1.035601947,0.0,0.0
1.135881621,0.0,0.0
1.235540251,0.0,0.0
1.335667786,0.0,0.0
1.436287168,0.0,0.0
1.535660992,0.0,0.0
1.63558015,0.0,0.0
1.73563342,0.0,0.0
1.836089951,0.0,0.0
1.935584605,0.0,0.0
2.035769963,0.0,0.0
2.135755101,0.0,0.0
2.23647754,0.0,0.0
2.337344992,0.0,0.0
2.435617324,0.0,0.0
2.535698805,0.0,0.0
2.635521811,0.0,0.0
2.737457066,0.0,0.0
2.836133154,0.0,0.0
2.936159097,0.0,0.0
3.035754171,0.0,0.0
3.135841765,0.0,0.0
3.236800246,0.0,0.0
3.335822552,0.0,0.0
3.437031257,0.0,0.0
3.536641651,0.0,0.0
3.637271808,0.0,0.0
3.736288763,0.0,0.0
3.835718953,0.0,0.0
3.935570048,0.0,0.0
4.035636268,0.0,0.0
4.135550091,0.0,0.0
4.235510102,0.0,0.0
4.335537068,0.0,0.0
4.43559794,0.0,0.0
4.535587613,0.0,0.0
4.635500342,0.0,0.0
4.735821067,0.0,0.0
4.835671892,0.0,0.0
4.935671044,0.0,0.0
5.035554201,0.0,0.0
5.135576048,0.0,0.0
5.23555961,0.0,0.0
5.33556659,0.0,0.0
5.435562689,0.0,0.0
5.535495624,0.0,0.0
5.635492295,0.0,0.0
5.735633075,0.0,0.0
5.835748536,0.0,0.0
5.935472109,0.0,0.0
6.035654472,0.0,0.0
6.135692541,0.0,0.0
6.239321991,0.0,0.0
6.336168317,0.0,0.0
6.43568955,0.0,0.0
6.535541042,0.0,0.0
6.635524472,0.0,0.0
6.735576485,0.0,0.0
6.835529911,0.0,0.0
6.935574841,0.0,0.0
7.035477323,0.0,0.0
7.135565917,0.0,0.0
7.235642246,0.0,0.0
7.3355677,0.0,0.0
7.435619262,0.0,0.0
7.535543287,0.0,0.0
7.635570375,0.0,0.0
7.735652379,0.0,0.0
7.835553784,0.0,0.0
7.935538742,0.0,0.0
8.035575454,0.0,0.0
8.135546357,0.0,0.0
8.235508412,0.0,0.0
8.335512419,0.0,0.0
8.435762412,0.0,0.0
8.535563932,0.0,0.0
8.635453693,0.0,0.0
8.735444036,0.0,0.0
8.83581566,0.0,0.0
8.935546397,0.0,0.0
9.035590146,0.0,0.0
9.135528581,0.0,0.0
9.235549818,0.0,0.0
9.335544306,0.0,0.0
9.435579238,0.0,0.0
9.535514992,0.0,0.0
9.635506238,0.0,0.0
9.735565722,0.0,0.0
9.835465445,0.0,0.0
9.935487016,0.0,0.0
10.035499833,0.0,0.0
10.136043969,0.0,0.0
10.235484417,0.0,0.0
10.33552211,0.0,0.0
10.435593011,0.0,0.0
10.535607553,0.0,0.0
10.635600754,0.0,0.0
10.735503276,0.0,0.0
10.835564527,0.0,0.0
10.935550852,0.0,0.0
11.035502662,0.0,0.0
11.135477897,0.0,0.0
11.235533393,0.0,0.0
11.335538162,0.0,0.0
11.43546264,0.0,0.0
11.535482977,0.0,0.0
11.635469967,0.0,0.0
11.73550828,0.0,0.0
11.83621333,0.0,0.0
11.935567238,0.0,0.0
12.03565644,0.0,0.0
12.135549091,0.0,0.0
12.235520232,0.0,0.0
12.335517475,0.0,0.0
12.435833938,0.0,0.0
12.535620027,0.0,0.0
12.635524532,0.0,0.0
