t,x,y
3.710010981,-9.103315610813414e-07,1.8937426676563125e-07
3.721981992,-4.063599298555556e-06,8.72605776950806e-07
3.734133175,-8.833537108137238e-06,1.985466546825616e-06
3.748484207,-1.442471895651571e-05,3.5941918315963908e-06
3.760459545,-2.1397792693122336e-05,4.171309057659318e-06
3.770958561,-2.9001939286266674e-05,4.381307352485826e-06
3.784060063,-3.69972633014002e-05,4.482183937593769e-06
3.794579255,-4.614981834122518e-05,5.406996049238432e-06
3.805593714,-5.665249202985341e-05,1.0581380165472411e-05
3.816608307,-6.742608902071418e-05,1.7136705146495942e-05
3.827344514,-7.739798721973206e-05,2.362652324285411e-05
3.839091085,-8.573304117623966e-05,2.95102054595276e-05
3.853040233,-9.213828320107052e-05,3.467076337773591e-05
3.866917457,-9.734321053297447e-05,3.948994860408024e-05
3.879512751,-0.0001015991218986309,4.409547886482959e-05
3.890339345,-0.00010499761747599905,4.851455701985227e-05
3.903413227,-0.00010781673571555114,5.273613595780475e-05
3.915081506,-0.00011047879364587624,5.673697626914294e-05
3.926536098,-0.00011301578654748182,6.054969425383456e-05
3.938133171,-0.00011544208644696102,6.419593295864542e-05
3.95109017,-0.00011776928840385135,6.769315110317963e-05
3.964318829,-0.00012000769985698496,7.105686657111294e-05
3.976710162,-0.00012216674689287822,7.430126853244837e-05
3.988189723,-0.00012408006883750898,7.717607090347426e-05
4.012066182,-0.00012530003358096793,7.900755604062378e-05
4.029808237,-0.0001262166117698511,8.031827802048252e-05
4.045662618,-0.00012733399976850614,8.054401586417379e-05
4.062319568,-0.00012875647681002706,8.031569339512416e-05
4.077099459,-0.0001305197282445306,8.002798297648047e-05
4.092024295,-0.0001326477980975625,7.97336331504854e-05
4.104768919,-0.00013515724648052382,7.944027308893348e-05
4.115695686,-0.00013806401238339924,7.914925480116512e-05
4.126699246,-0.00014137676402486803,7.88601031408401e-05
4.137726881,-0.00014506880743089118,7.85721498225225e-05
4.150413768,-0.00014912632454142875,7.828515108262513e-05
4.162877296,-0.00015353811987744125,7.79292989927492e-05
4.183044506,-0.00015850299657957975,7.761236619480117e-05
4.202884883,-0.00016422504579423347,7.732212447695533e-05
4.217450764,-0.0001707866926829952,7.703532123407627e-05
4.230216617,-0.00017824001490439247,7.674901655946504e-05
4.242312992,-0.00018659707281158157,7.646822755996772e-05
4.254087933,-0.00019576875981753856,7.619227754520762e-05
4.266682965,-0.00020564705976339366,7.591659577435139e-05
