t,linear_x,angular_z
0.0,0.0,0.0
0.030433331,0.0,0.0
0.128836538,0.0,0.0
0.228073569,0.0,0.0
0.327282314,0.0,0.0
0.427374165,0.0,0.0
0.527221403,0.0,0.0
0.627208848,0.0,0.0
0.727309454,0.0,0.0
0.827293815,0.0,0.0
0.92716424,0.0,0.0
1.027155872,0.0,0.0
1.127364207,0.0,0.0
1.227204515,0.0,0.0
1.327285469,0.0,0.0
1.427231978,0.0,0.0
1.527235089,0.0,0.0
1.627340008,0.0,0.0
1.727221604,0.0,0.0
1.827275802,0.0,0.0
1.927345793,0.0,0.0
2.027272113,0.0,0.0
2.127432865,0.0,0.0
2.227360272,0.0,0.0
2.327478228,0.0,0.0
2.427251927,0.0,0.0
2.527269946,0.0,0.0
2.627561062,0.0,0.0
2.730322439,0.0,0.0
2.828748336,0.0,0.0
2.927577552,0.0,0.0
3.027557181,0.0,0.0
3.127595144,0.0,0.0
3.227192844,0.0,0.0
3.328116969,0.0,0.0
3.427209182,0.0,0.0
3.527949383,0.0,0.0
3.627405253,0.0,0.0
3.7274173,0.0,0.0
3.827147883,0.0,0.0
3.927094158,0.0,0.0
4.0273211,0.0,0.0
4.127137867,0.0,0.0
4.227127037,0.0,0.0
4.327180883,0.0,0.0
4.42706956,0.0,0.0
4.529267249,0.0,0.0
4.627149099,0.0,0.0
4.727074105,0.0,0.0
4.827200048,0.0,0.0
4.927191182,0.0,0.0
5.027242578,0.0,0.0
5.127075551,0.0,0.0
5.227659098,0.0,0.0
5.327128615,0.0,0.0
5.427166565,0.0,0.0
5.527110493,0.0,0.0
5.6270541,0.0,0.0
5.727204725,0.0,0.0
5.827161556,0.0,0.0
5.927219891,0.0,0.0
6.027055705,0.0,0.0
6.127137028,0.0,0.0
6.227127976,0.0,0.0
6.327127575,0.0,0.0
6.427305458,0.0,0.0
6.527120704,0.0,0.0
6.627192718,0.0,0.0
6.727116271,0.0,0.0
6.827225211,0.0,0.0
6.927121263,0.0,0.0
7.02715637,0.0,0.0
7.128760264,0.0,0.0
7.227119415,0.0,0.0
7.327115012,0.0,0.0
7.427149659,0.0,0.0
7.527200787,0.0,0.0
7.62707185,0.0,0.0
7.727549107,0.0,0.0
7.827110307,0.0,0.0
7.927183748,0.0,0.0
8.027149703,0.0,0.0
8.127089089,0.0,0.0
8.227093753,0.0,0.0
8.327171446,0.0,0.0
8.42714956,0.0,0.0
8.527454917,0.0,0.0
8.632212506,0.0,0.0
8.727171949,0.0,0.0
8.827240178,0.0,0.0
8.92723936,0.0,0.0
9.027108769,0.0,0.0
9.127142185,0.0,0.0
9.22711784,0.0,0.0
9.327188388,0.0,0.0
9.427111361,0.0,0.0
9.527296034,0.0,0.0
9.627164468,0.0,0.0
9.727236414,0.0,0.0
9.827095067,0.0,0.0
9.927076276,0.0,0.0
10.027236847,0.0,0.0
10.127122201,0.0,0.0
10.227229713,0.0,0.0
10.327245917,0.0,0.0
10.427239224,0.0,0.0
10.527140087,0.0,0.0
10.627075378,0.0,0.0
10.727276555,0.0,0.0
10.827047561,0.0,0.0
10.927189687,0.0,0.0
11.027108621,0.0,0.0
11.127155972,0.0,0.0
11.229358252,0.0,0.0
11.328594176,0.0,0.0
11.427214426,0.0,0.0
11.527201754,0.0,0.0
11.627798781,0.0,0.0
11.727070005,0.0,0.0
11.827098411,0.0,0.0
11.927140485,0.0,0.0
12.027212473,0.0,0.0
12.127217899,0.0,0.0
12.227209282,0.0,0.0
12.327096243,0.0,0.0
12.427382453,0.0,0.0
12.52712589,0.0,0.0
12.627132355,0.0,0.0
12.728043353,0.0,0.0
12.827158842,0.0,0.0
12.927186197,0.0,0.0
13.027174499,0.0,0.0
13.127114526,0.0,0.0
13.227274425,0.0,0.0
13.327116042,0.0,0.0
13.427090718,0.0,0.0
13.527215125,0.0,0.0
13.627230573,0.0,0.0
13.727064294,0.0,0.0
13.82717853,0.0,0.0
13.927119113,0.0,0.0
14.027078922,0.0,0.0
14.127035389,0.0,0.0
14.226961215,0.0,0.0
14.327433858,0.0,0.0
14.427214921,0.0,0.0
14.527111579,0.0,0.0
14.627044037,0.0,0.0
14.727781871,0.0,0.0
14.829238365,0.0,0.0
14.927095142,0.0,0.0
15.027051005,0.0,0.0
15.127371132,0.0,0.0
15.227143997,0.0,0.0
15.327197674,0.0,0.0
15.427133944,0.0,0.0
15.527149646,0.0,0.0
15.627145999,0.0,0.0
15.727102658,0.0,0.0
15.827139906,0.0,0.0
15.927219007,0.0,0.0
16.027165357,0.0,0.0
16.127053438,0.0,0.0
16.227188983,0.0,0.0
16.327150253,0.0,0.0
16.427153815,0.0,0.0
16.527052999,0.0,0.0
16.627227089,0.0,0.0
16.72721347,0.0,0.0
16.827071541,0.0,0.0
16.927296194,0.0,0.0
17.02710243,0.0,0.0
17.127087025,0.0,0.0
17.227127867,0.0,0.0
17.327199783,0.0,0.0
17.427165969,0.0,0.0
17.527166723,0.0,0.0
17.627117506,0.0,0.0
17.727143153,0.0,0.0
17.827131388,0.0,0.0
17.927154349,0.0,0.0
18.027287773,0.0,0.0
18.127138756,0.0,0.0
18.227173909,0.0,0.0
18.327064047,0.0,0.0
18.427329168,0.0,0.0
18.527107939,0.0,0.0
18.627211849,0.0,0.0
18.72766917,0.0,0.0
18.827370571,0.0,0.0
18.927733308,0.0,0.0
19.027213723,0.0,0.0
19.127314571,0.0,0.0
19.227164725,0.0,0.0
19.327190342,0.0,0.0
19.427196517,0.0,0.0
19.527130622,0.0,0.0
19.627113967,0.0,0.0
19.72708755,0.0,0.0
19.827284146,0.0,0.0
19.927212581,0.0,0.0
20.027068362,0.0,0.0
20.127327936,0.0,0.0
20.22719135,0.0,0.0
20.327184379,0.0,0.0
20.427150541,0.0,0.0
20.52707337,0.0,0.0
20.627465883,0.0,0.0
20.727285965,0.0,0.0
20.82719446,0.0,0.0
20.927119799,0.0,0.0
21.02747264,0.0,0.0
21.127189304,0.0,0.0
21.227282167,0.0,0.0
21.327123654,0.0,0.0
21.427241528,0.0,0.0
21.527110643,0.0,0.0
21.627063789,0.0,0.0
21.727215479,0.0,0.0
21.827121774,0.0,0.0
21.927228075,0.0,0.0
22.027120783,0.0,0.0
22.127188153,0.0,0.0
22.22716795,0.0,0.0
22.327166745,0.0,0.0
22.427234906,0.0,0.0
22.527133414,0.0,0.0
22.62710024,0.0,0.0
22.727316507,0.0,0.0
22.82710037,0.0,0.0
22.927208929,0.0,0.0
23.027283796,0.0,0.0
23.127172267,0.0,0.0
23.227087057,0.0,0.0
23.327407497,0.0,0.0
23.427124996,0.0,0.0
23.527189741,0.0,0.0
23.62728655,0.0,0.0
23.727149637,0.0,0.0
23.82714455,0.0,0.0
23.927161707,0.0,0.0
24.027174255,0.0,0.0
24.127226401,0.0,0.0
24.229126948,0.0,0.0
24.327141952,0.0,0.0
24.427169149,0.0,0.0
24.527179886,0.0,0.0
24.627112899,0.0,0.0
24.727182509,0.0,0.0
24.827056971,0.0,0.0
24.927175771,0.0,0.0
25.027240911,0.0,0.0
25.1271876,0.0,0.0
25.227048521,0.0,0.0
25.327109551,0.0,0.0
25.427184676,0.0,0.0
25.527232051,0.0,0.0
25.627105895,0.0,0.0
25.727200761,0.0,0.0
25.827245799,0.0,0.0
25.927107052,0.0,0.0
26.027125527,0.0,0.0
26.127159894,0.0,0.0
26.227149498,0.0,0.0
26.327174285,0.0,0.0
26.42707438,0.0,0.0
26.52732149,0.0,0.0
26.627119489,0.0,0.0
26.727114841,0.0,0.0
26.827304444,0.0,0.0
26.928347771,0.0,0.0
27.027067661,0.0,0.0
27.127203631,0.0,0.0
27.227256213,0.0,0.0
27.327155147,0.0,0.0
27.427181659,0.0,0.0
27.527240521,0.0,0.0
27.627048509,0.0,0.0
27.72705944,0.0,0.0
27.827299215,0.0,0.0
27.927259804,0.0,0.0
28.027185098,0.0,0.0
28.12705097,0.0,0.0
28.227257708,0.0,0.0
28.327197811,0.0,0.0
28.427111544,0.0,0.0
28.527225028,0.0,0.0
28.627250609,0.0,0.0
28.72716294,0.0,0.0
28.827700583,0.0,0.0
28.927161173,0.0,0.0
29.027250306,0.0,0.0
29.127116494,0.0,0.0
29.227385099,0.0,0.0
29.874911236,0.0,0.5
30.100722664,0.0,0.5
30.32189249,0.0,0.5
30.535542759,0.0,0.5
30.749855781,0.0,0.5
31.012208896,0.0,0.5
31.298454817,0.5,0.5
31.518960368,0.5,0.5
31.749073146,0.5,0.5
31.975258491,0.5,0.5
32.185140371,0.5,0.5
32.395300893,0.5,0.5
32.608017311,0.5,0.5
32.827213239,0.5,0.5
33.062585252,0.5,0.5
33.276709757,0.5,0.5
33.490123956,0.5,0.5
33.709680889,0.5,0.5
33.930859237,0.5,0.5
34.143762133,0.5,0.5
34.351377014,0.5,0.5
34.579717452,0.5,0.5
34.780613369,0.5,0.5
35.009173898,0.5,0.5
35.258442346,0.5,0.5
35.466529165,0.5,0.5
35.708535098,0.5,0.5
35.928271383,0.5,0.35241922692600147
36.148474893,0.5,-0.07429022264503427
36.382383239,0.5,-0.4623768724519529
36.629836373,0.5,-0.5
36.877296919,0.5,-0.5
37.124747924,0.5,-0.5
37.373835872,0.0,-0.5
37.64595577,0.5,-0.5
37.888781806,0.5,-0.5
38.137252882,0.5,-0.49999998672729196
38.423505675,0.13209803946992474,0.12176650508545923
38.832334744,0.0,0.0
39.118490083,0.0,0.0
39.423535467,0.0,0.0
39.769443156,0.0,0.0
39.990931399,0.5,0.5
40.212982431,0.5,0.5
40.422523479,0.5,0.5
40.638024408,0.5,0.5
40.856469518,0.5,0.5
41.074408086,0.5,0.5
41.292264675,0.5,0.5
41.513674405,0.5,0.5
41.729141632,0.5,0.5
41.952478038,0.5,0.5
42.185349994,0.5,0.4999999935776837
42.398783012,0.5,0.4280247066144238
42.617263735,0.5,0.16235209269774747
42.853591707,0.5,-0.1957446297476993
43.080778062,0.5,-0.4999997928996199
43.29910624,0.5,-0.4999999922748041
43.510311219,0.5,-0.4999999952884742
43.725110321,0.5,-0.4999999916220994
44.002437611,0.5,-0.499999973783788
44.2197761,0.5,-0.41582753108957415
44.475491858,0.5,-0.24122401369796317
44.680346757,0.5,-0.014854235922485878
44.881361089,0.35652208808278746,0.18001975820345936
45.094723093,0.2008937083930701,0.3095061060124756
45.319404809,0.0938189795062177,0.43005678929864155
45.551932289,0.004522773136351784,0.49999998472103696
45.776839833,0.0,0.5
45.998151965,0.0,0.5
46.218670142,0.0,0.5
46.490460866,0.0,0.5
46.755053189,0.0,0.5
46.986252229,0.0,0.5
47.214813149,0.0,0.5
47.441458902,0.0,0.5
47.671984434,0.0,0.5
47.917510276,0.0,0.5
48.148578827,0.0,0.5
48.379186135,0.0,0.5
48.610752038,0.0,0.5
48.850852825,0.0,0.5
49.1622962,0.0,0.5
49.418331036,0.0,0.5
49.654412425,0.0,0.5
49.882829592,0.0,0.5
50.160294415,0.0,0.5
50.400617851,0.0,0.5
50.700136001,0.0,0.5
50.999168746,0.0,0.5
51.266109667,0.0,0.4999999999823288
51.481849063,0.0,0.4999999976235098
51.700419694,0.0,0.4999999949770883
51.92280527,0.0,0.49999999136669443
52.163738982,0.0,0.49999998616069014
52.378432516,0.0,0.49999997836028626
52.602337387,6.341905052560185e-10,0.49999996816147896
52.839476541,1.876656557536024e-08,0.49999995375284406
53.053075852,0.0028140037797990914,0.49999998177895993
53.336426515,0.012233836361391574,0.499999901583567
53.627920485,0.02180600405979911,0.49999959706904656
53.874281466,0.026382621921077293,0.3976593300385182
54.186526697,0.0,0.0
54.421962028,0.0,0.0
54.6671228,0.0,0.0
54.899814431,0.0,0.0
55.171109342,0.0,0.0
55.411356113,0.0,0.0
55.658320634,0.0,0.0
55.89259745,0.0,0.0
56.129807699,0.0,0.0
56.376383016,0.0,0.0
56.61338625,0.0,0.0
56.841020799,0.0,0.0
57.077991135,0.0,0.0
57.32091995,0.0,0.0
57.553138765,0.0,0.0
57.800847337,0.0,0.0
58.050591176,0.0,0.0
58.285732683,0.0,0.0
58.521403255,0.0,0.0
58.776274143,0.0,0.0
59.058571217,0.0,0.0
59.318994873,0.0,0.0
59.564101394,0.0,0.0
59.889752019,0.0,0.0
60.163954158,0.0,0.0
